Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,014022,2002,06,29,,,
IDCJAC0009,014022,2002,06,30,,,
IDCJAC0009,014022,2002,07,01,0.0,1,N
IDCJAC0009,014022,2002,07,02,0.0,1,N
IDCJAC0009,014022,2002,07,03,0.0,1,N
IDCJAC0009,014022,2002,07,04,0.0,1,N
IDCJAC0009,014022,2002,07,05,0.0,1,N
IDCJAC0009,014022,2002,07,06,0.0,1,N
IDCJAC0009,014022,2002,07,07,0.0,1,N
IDCJAC0009,014022,2002,07,08,0.0,1,N
IDCJAC0009,014022,2002,07,09,0.0,1,N
IDCJAC0009,014022,2002,07,10,0.0,1,N
IDCJAC0009,014022,2002,07,11,0.0,1,N
IDCJAC0009,014022,2002,07,12,0.0,1,N
IDCJAC0009,014022,2002,07,13,0.0,1,N
IDCJAC0009,014022,2002,07,14,0.0,1,N
IDCJAC0009,014022,2002,07,15,0.0,1,N
IDCJAC0009,014022,2002,07,16,0.0,1,N
IDCJAC0009,014022,2002,07,17,0.0,1,N
IDCJAC0009,014022,2002,07,18,0.0,1,N
IDCJAC0009,014022,2002,07,19,0.0,1,N
IDCJAC0009,014022,2002,07,20,0.0,1,N
IDCJAC0009,014022,2002,07,21,0.0,1,N
IDCJAC0009,014022,2002,07,22,0.0,1,N
IDCJAC0009,014022,2002,07,23,0.0,1,N
IDCJAC0009,014022,2002,07,24,0.0,1,N
IDCJAC0009,014022,2002,07,25,0.0,1,N
IDCJAC0009,014022,2002,07,26,0.0,1,N
IDCJAC0009,014022,2002,07,27,0.0,1,N
IDCJAC0009,014022,2002,07,28,0.0,1,N
IDCJAC0009,014022,2002,07,29,0.0,1,N
IDCJAC0009,014022,2002,07,30,0.0,1,N
IDCJAC0009,014022,2002,07,31,0.0,1,N
IDCJAC0009,014022,2002,08,01,,,
IDCJAC0009,014022,2002,08,02,,,
IDCJAC0009,014022,2002,08,03,,,
IDCJAC0009,014022,2002,08,04,,,
IDCJAC0009,014022,2002,08,05,,,
IDCJAC0009,014022,2002,08,06,,,
IDCJAC0009,014022,2002,08,07,,,
IDCJAC0009,014022,2002,08,08,,,
IDCJAC0009,014022,2002,08,09,,,
IDCJAC0009,014022,2002,08,10,,,
IDCJAC0009,014022,2002,08,11,,,
IDCJAC0009,014022,2002,08,12,,,
IDCJAC0009,014022,2002,08,13,,,
IDCJAC0009,014022,2002,08,14,,,
IDCJAC0009,014022,2002,08,15,,,
IDCJAC0009,014022,2002,08,16,,,
IDCJAC0009,014022,2002,08,17,,,
IDCJAC0009,014022,2002,08,18,,,
IDCJAC0009,014022,2002,08,19,,,
IDCJAC0009,014022,2002,08,20,,,
IDCJAC0009,014022,2002,08,21,,,
IDCJAC0009,014022,2002,08,22,,,
IDCJAC0009,014022,2002,08,23,,,
IDCJAC0009,014022,2002,08,24,,,
IDCJAC0009,014022,2002,08,25,,,
IDCJAC0009,014022,2002,08,26,,,
IDCJAC0009,014022,2002,08,27,,,
IDCJAC0009,014022,2002,08,28,,,
IDCJAC0009,014022,2002,08,29,,,
IDCJAC0009,014022,2002,08,30,,,
IDCJAC0009,014022,2002,08,31,,,
IDCJAC0009,014022,2002,09,01,0.0,1,N
IDCJAC0009,014022,2002,09,02,0.0,1,N
IDCJAC0009,014022,2002,09,03,0.0,1,N
IDCJAC0009,014022,2002,09,04,0.0,1,N
IDCJAC0009,014022,2002,09,05,0.0,1,N
IDCJAC0009,014022,2002,09,06,0.0,1,N
IDCJAC0009,014022,2002,09,07,0.0,1,N
IDCJAC0009,014022,2002,09,08,0.0,1,N
IDCJAC0009,014022,2002,09,09,0.0,1,N
IDCJAC0009,014022,2002,09,10,0.0,1,N
IDCJAC0009,014022,2002,09,11,0.0,1,N
