Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014116,1965,08,13,16.7,1,Y
IDCJAC0011,014116,1965,08,14,,,
IDCJAC0011,014116,1965,08,15,,,
IDCJAC0011,014116,1965,08,16,17.8,1,Y
IDCJAC0011,014116,1965,08,17,20.1,1,Y
IDCJAC0011,014116,1965,08,18,17.9,1,Y
IDCJAC0011,014116,1965,08,19,18.9,1,Y
IDCJAC0011,014116,1965,08,20,18.9,1,Y
IDCJAC0011,014116,1965,08,21,,,
IDCJAC0011,014116,1965,08,22,,,
IDCJAC0011,014116,1965,08,23,16.9,1,Y
IDCJAC0011,014116,1965,08,24,18.1,1,Y
IDCJAC0011,014116,1965,08,25,17.9,1,Y
IDCJAC0011,014116,1965,08,26,17.8,1,Y
IDCJAC0011,014116,1965,08,27,20.0,1,Y
IDCJAC0011,014116,1965,08,28,,,
IDCJAC0011,014116,1965,08,29,,,
IDCJAC0011,014116,1965,08,30,17.8,1,Y
IDCJAC0011,014116,1965,08,31,18.9,1,Y
IDCJAC0011,014116,1965,09,01,19.3,1,Y
IDCJAC0011,014116,1965,09,02,18.1,1,Y
IDCJAC0011,014116,1965,09,03,19.4,1,Y
IDCJAC0011,014116,1965,09,04,,,
IDCJAC0011,014116,1965,09,05,,,
IDCJAC0011,014116,1965,09,06,18.9,1,Y
IDCJAC0011,014116,1965,09,07,20.0,1,Y
IDCJAC0011,014116,1965,09,08,,,
IDCJAC0011,014116,1965,09,09,20.0,1,Y
IDCJAC0011,014116,1965,09,10,19.2,1,Y
IDCJAC0011,014116,1965,09,11,,,
IDCJAC0011,014116,1965,09,12,,,
IDCJAC0011,014116,1965,09,13,21.1,1,Y
IDCJAC0011,014116,1965,09,14,21.3,1,Y
IDCJAC0011,014116,1965,09,15,19.3,1,Y
IDCJAC0011,014116,1965,09,16,20.0,1,Y
IDCJAC0011,014116,1965,09,17,21.1,1,Y
IDCJAC0011,014116,1965,09,18,,,
IDCJAC0011,014116,1965,09,19,,,
IDCJAC0011,014116,1965,09,20,20.0,1,Y
IDCJAC0011,014116,1965,09,21,21.1,1,Y
IDCJAC0011,014116,1965,09,22,22.2,1,Y
IDCJAC0011,014116,1965,09,23,22.2,1,Y
IDCJAC0011,014116,1965,09,24,20.0,1,Y
IDCJAC0011,014116,1965,09,25,,,
IDCJAC0011,014116,1965,09,26,,,
IDCJAC0011,014116,1965,09,27,20.0,1,Y
IDCJAC0011,014116,1965,09,28,21.1,1,Y
IDCJAC0011,014116,1965,09,29,21.1,1,Y
IDCJAC0011,014116,1965,09,30,21.2,1,Y
IDCJAC0011,014116,1965,10,01,21.1,1,Y
IDCJAC0011,014116,1965,10,02,,,
IDCJAC0011,014116,1965,10,03,,,
IDCJAC0011,014116,1965,10,04,21.7,1,Y
IDCJAC0011,014116,1965,10,05,,,
IDCJAC0011,014116,1965,10,06,21.1,1,Y
IDCJAC0011,014116,1965,10,07,21.7,1,Y
IDCJAC0011,014116,1965,10,08,23.3,1,Y
IDCJAC0011,014116,1965,10,09,,,
IDCJAC0011,014116,1965,10,10,,,
IDCJAC0011,014116,1965,10,11,21.1,1,Y
IDCJAC0011,014116,1965,10,12,22.2,1,Y
IDCJAC0011,014116,1965,10,13,22.8,1,Y
IDCJAC0011,014116,1965,10,14,22.8,1,Y
IDCJAC0011,014116,1965,10,15,23.3,1,Y
IDCJAC0011,014116,1965,10,16,,,
IDCJAC0011,014116,1965,10,17,,,
IDCJAC0011,014116,1965,10,18,23.3,1,Y
IDCJAC0011,014116,1965,10,19,23.1,1,Y
IDCJAC0011,014116,1965,10,20,23.3,1,Y
IDCJAC0011,014116,1965,10,21,22.2,1,Y
IDCJAC0011,014116,1965,10,22,22.7,1,Y
IDCJAC0011,014116,1965,10,23,,,
IDCJAC0011,014116,1965,10,24,,,
IDCJAC0011,014116,1965,10,25,23.3,1,Y
IDCJAC0011,014116,1965,10,26,23.3,1,Y
IDCJAC0011,014116,1965,10,27,23.6,1,Y
IDCJAC0011,014116,1965,10,28,23.3,1,Y
IDCJAC0011,014116,1965,10,29,23.3,1,Y
IDCJAC0011,014116,1965,10,30,,,
IDCJAC0011,014116,1965,10,31,,,
IDCJAC0011,014116,1965,11,01,,,
IDCJAC0011,014116,1965,11,02,23.4,1,Y
IDCJAC0011,014116,1965,11,03,25.0,1,Y
IDCJAC0011,014116,1965,11,04,24.4,1,Y
IDCJAC0011,014116,1965,11,05,23.1,1,Y
IDCJAC0011,014116,1965,11,06,,,
IDCJAC0011,014116,1965,11,07,,,
IDCJAC0011,014116,1965,11,08,22.8,1,Y
IDCJAC0011,014116,1965,11,09,25.8,1,Y
IDCJAC0011,014116,1965,11,10,26.1,1,Y
IDCJAC0011,014116,1965,11,11,26.1,1,Y
IDCJAC0011,014116,1965,11,12,26.1,1,Y
IDCJAC0011,014116,1965,11,13,,,
IDCJAC0011,014116,1965,11,14,,,
IDCJAC0011,014116,1965,11,15,21.1,1,Y
IDCJAC0011,014116,1965,11,16,25.0,1,Y
IDCJAC0011,014116,1965,11,17,25.3,1,Y
IDCJAC0011,014116,1965,11,18,25.8,1,Y
IDCJAC0011,014116,1965,11,19,25.6,1,Y
IDCJAC0011,014116,1965,11,20,,,
IDCJAC0011,014116,1965,11,21,,,
IDCJAC0011,014116,1965,11,22,20.6,1,Y
IDCJAC0011,014116,1965,11,23,23.3,1,Y
IDCJAC0011,014116,1965,11,24,23.9,1,Y
IDCJAC0011,014116,1965,11,25,24.6,1,Y
IDCJAC0011,014116,1965,11,26,25.0,1,Y
IDCJAC0011,014116,1965,11,27,,,
IDCJAC0011,014116,1965,11,28,,,
IDCJAC0011,014116,1965,11,29,22.8,1,Y
IDCJAC0011,014116,1965,11,30,,,
IDCJAC0011,014116,1965,12,01,,,
IDCJAC0011,014116,1965,12,02,22.5,1,Y
IDCJAC0011,014116,1965,12,03,25.6,1,Y
IDCJAC0011,014116,1965,12,04,,,
IDCJAC0011,014116,1965,12,05,,,
IDCJAC0011,014116,1965,12,06,23.9,1,Y
IDCJAC0011,014116,1965,12,07,23.9,1,Y
IDCJAC0011,014116,1965,12,08,22.6,1,Y
IDCJAC0011,014116,1965,12,09,23.6,1,Y
IDCJAC0011,014116,1965,12,10,22.7,1,Y
IDCJAC0011,014116,1965,12,11,,,
IDCJAC0011,014116,1965,12,12,,,
IDCJAC0011,014116,1965,12,13,22.6,1,Y
IDCJAC0011,014116,1965,12,14,22.7,1,Y
IDCJAC0011,014116,1965,12,15,24.0,1,Y
IDCJAC0011,014116,1965,12,16,23.2,1,Y
IDCJAC0011,014116,1965,12,17,22.7,1,Y
IDCJAC0011,014116,1965,12,18,,,
IDCJAC0011,014116,1965,12,19,,,
IDCJAC0011,014116,1965,12,20,23.1,1,Y
IDCJAC0011,014116,1965,12,21,24.3,1,Y
IDCJAC0011,014116,1965,12,22,21.8,1,Y
IDCJAC0011,014116,1965,12,23,22.3,1,Y
IDCJAC0011,014116,1965,12,24,22.3,1,Y
IDCJAC0011,014116,1965,12,25,,,
IDCJAC0011,014116,1965,12,26,,,
IDCJAC0011,014116,1965,12,27,,,
IDCJAC0011,014116,1965,12,28,,,
IDCJAC0011,014116,1965,12,29,23.1,1,Y
IDCJAC0011,014116,1965,12,30,22.1,1,Y
IDCJAC0011,014116,1965,12,31,23.8,1,Y
IDCJAC0011,014116,1966,01,01,,,
IDCJAC0011,014116,1966,01,02,,,
IDCJAC0011,014116,1966,01,03,,,
IDCJAC0011,014116,1966,01,04,24.0,,Y
IDCJAC0011,014116,1966,01,05,25.8,1,Y
IDCJAC0011,014116,1966,01,06,27.3,1,Y
IDCJAC0011,014116,1966,01,07,27.8,1,Y
IDCJAC0011,014116,1966,01,08,,,
IDCJAC0011,014116,1966,01,09,,,
IDCJAC0011,014116,1966,01,10,22.5,1,Y
IDCJAC0011,014116,1966,01,11,25.4,1,Y
IDCJAC0011,014116,1966,01,12,25.4,1,Y
IDCJAC0011,014116,1966,01,13,23.4,1,Y
IDCJAC0011,014116,1966,01,14,23.2,1,Y
IDCJAC0011,014116,1966,01,15,,,
IDCJAC0011,014116,1966,01,16,,,
IDCJAC0011,014116,1966,01,17,22.1,1,Y
IDCJAC0011,014116,1966,01,18,22.3,1,Y
IDCJAC0011,014116,1966,01,19,25.3,1,Y
IDCJAC0011,014116,1966,01,20,22.2,1,Y
IDCJAC0011,014116,1966,01,21,22.2,1,Y
IDCJAC0011,014116,1966,01,22,,,
IDCJAC0011,014116,1966,01,23,,,
IDCJAC0011,014116,1966,01,24,23.3,1,Y
IDCJAC0011,014116,1966,01,25,25.6,1,Y
IDCJAC0011,014116,1966,01,26,24.4,1,Y
IDCJAC0011,014116,1966,01,27,22.7,1,Y
IDCJAC0011,014116,1966,01,28,24.4,1,Y
IDCJAC0011,014116,1966,01,29,,,
IDCJAC0011,014116,1966,01,30,,,
IDCJAC0011,014116,1966,01,31,,,
IDCJAC0011,014116,1966,02,01,22.2,1,Y
IDCJAC0011,014116,1966,02,02,23.4,1,Y
IDCJAC0011,014116,1966,02,03,22.7,1,Y
